"year","PropPel","scenario"
2016,0.000556160930634879,"fmsy1"
2017,0.000546861700005508,"fmsy1"
2018,0.000524301012507529,"fmsy1"
2019,0.000479104577513763,"fmsy1"
2020,0.00043734822956389,"fmsy1"
2021,0.000483210441069616,"fmsy1"
2022,0.000493831161588974,"fmsy1"
2023,0.000519407448616701,"fmsy1"
2024,0.000516462112494789,"fmsy1"
2025,0.000520030635606258,"fmsy1"
2026,0.00055610229583578,"fmsy1"
2027,0.000562925640841281,"fmsy1"
2028,0.000540542906729599,"fmsy1"
2029,0.000555337710281104,"fmsy1"
2030,0.000572732368358824,"fmsy1"
2031,0.000532337732773268,"fmsy1"
2032,0.000526329040310031,"fmsy1"
2033,0.000548854029545373,"fmsy1"
2034,0.000554142806941573,"fmsy1"
2035,0.000547631898177848,"fmsy1"
2036,0.000568320465701126,"fmsy1"
2037,0.000528163064322629,"fmsy1"
2038,0.00049709760768263,"fmsy1"
2039,0.00052789309280786,"fmsy1"
2040,0.000530161122338185,"fmsy1"
2041,0.000538525523156078,"fmsy1"
2042,0.000512753190831817,"fmsy1"
2043,0.000528818644968078,"fmsy1"
2044,0.000554750075161737,"fmsy1"
2045,0.00052650129698404,"fmsy1"
2046,0.000524004807345809,"fmsy1"
2047,0.00052524334299668,"fmsy1"
2048,0.000520437765590336,"fmsy1"
2049,0.0005025062517439,"fmsy1"
2050,0.000499671940852192,"fmsy1"
2051,0.000490692882460805,"fmsy1"
2052,0.000491856596406033,"fmsy1"
2053,0.000485998704047024,"fmsy1"
2054,0.000482872782856873,"fmsy1"
2055,0.000476175419690343,"fmsy1"
2056,0.000495391995989059,"fmsy1"
2057,0.000488237077179521,"fmsy1"
2058,0.000469479783951227,"fmsy1"
2059,0.000454050183431609,"fmsy1"
2060,0.000448961330258006,"fmsy1"
2061,0.000467908345017588,"fmsy1"
2062,0.000465799506431614,"fmsy1"
2063,0.000465880572378557,"fmsy1"
2064,0.000451150300629205,"fmsy1"
2065,0.000429986389899926,"fmsy1"
2066,0.000467893119005499,"fmsy1"
2067,0.000475120746540958,"fmsy1"
2068,0.00045402636607655,"fmsy1"
2016,0.000553340371678845,"fmsy11"
2017,0.000542395359991981,"fmsy11"
2018,0.000519197504706412,"fmsy11"
2019,0.000473969627797163,"fmsy11"
2020,0.000432525735416968,"fmsy11"
2021,0.000478056640453689,"fmsy11"
2022,0.000488048629138384,"fmsy11"
2023,0.000535301973421175,"fmsy11"
2024,0.000526352685796498,"fmsy11"
2025,0.000526052852550361,"fmsy11"
2026,0.000562308140915299,"fmsy11"
2027,0.000557188527112617,"fmsy11"
2028,0.000535110576816389,"fmsy11"
2029,0.000553903956594292,"fmsy11"
2030,0.000579736707525622,"fmsy11"
2031,0.000554640147766386,"fmsy11"
2032,0.000540531315700438,"fmsy11"
2033,0.000565394084372268,"fmsy11"
2034,0.000556103243335878,"fmsy11"
2035,0.000537143993706967,"fmsy11"
2036,0.000571568919671458,"fmsy11"
2037,0.000560943141091251,"fmsy11"
2038,0.00054506258578917,"fmsy11"
2039,0.000545461038366991,"fmsy11"
2040,0.000542899428550902,"fmsy11"
2041,0.000543783218211922,"fmsy11"
2042,0.000505319085514502,"fmsy11"
2043,0.000497306567635777,"fmsy11"
2044,0.000497727383453921,"fmsy11"
2045,0.000469204349110319,"fmsy11"
2046,0.000446113330059061,"fmsy11"
2047,0.000437428144868197,"fmsy11"
2048,0.000555246651972144,"fmsy11"
2049,0.000535195032709422,"fmsy11"
2050,0.000541879935627531,"fmsy11"
2051,0.000502145745076008,"fmsy11"
2052,0.00050107412089484,"fmsy11"
2053,0.00049519994842678,"fmsy11"
2054,0.000495216683186689,"fmsy11"
2055,0.000488688038611849,"fmsy11"
2056,0.000493935101266477,"fmsy11"
2057,0.000503556635789642,"fmsy11"
2058,0.000486691561437942,"fmsy11"
2059,0.000478040974230633,"fmsy11"
2060,0.000472806558890331,"fmsy11"
2061,0.000462775849117964,"fmsy11"
2062,0.000444940693565154,"fmsy11"
2063,0.000461070128025812,"fmsy11"
2064,0.00045805957677367,"fmsy11"
2065,0.00046179944399792,"fmsy11"
2066,0.000473357686743391,"fmsy11"
2067,0.000464885196401167,"fmsy11"
2068,0.000435267033646962,"fmsy11"
2016,0.000561970422818569,"fmsy08"
2017,0.00055631495355735,"fmsy08"
2018,0.000535372548438539,"fmsy08"
2019,0.000490558509145077,"fmsy08"
2020,0.000448174292956693,"fmsy08"
2021,0.000495449222633118,"fmsy08"
2022,0.000506199320312936,"fmsy08"
2023,0.000525398476502376,"fmsy08"
2024,0.000533119655069043,"fmsy08"
2025,0.000533619492707361,"fmsy08"
2026,0.000564702388331832,"fmsy08"
2027,0.000559756361096345,"fmsy08"
2028,0.000538117489741909,"fmsy08"
2029,0.000555023575573171,"fmsy08"
2030,0.000591679227911572,"fmsy08"
2031,0.000578400187859544,"fmsy08"
2032,0.000568711475258454,"fmsy08"
2033,0.00056606106588396,"fmsy08"
2034,0.00057292018329692,"fmsy08"
2035,0.000569168358974645,"fmsy08"
2036,0.000558727925673011,"fmsy08"
2037,0.000560924505718577,"fmsy08"
2038,0.000563142123003622,"fmsy08"
2039,0.000572213168204413,"fmsy08"
2040,0.000558408120950164,"fmsy08"
2041,0.000572580212629909,"fmsy08"
2042,0.000565546859893141,"fmsy08"
2043,0.000577539826104378,"fmsy08"
2044,0.000603920946103336,"fmsy08"
2045,0.000582866072058437,"fmsy08"
2046,0.000565554449963523,"fmsy08"
2047,0.000569535484574067,"fmsy08"
2048,0.000581248395553816,"fmsy08"
2049,0.000541978881851711,"fmsy08"
2050,0.000546558298625716,"fmsy08"
2051,0.000537536087686414,"fmsy08"
2052,0.000497715150172825,"fmsy08"
2053,0.000472216020216036,"fmsy08"
2054,0.000526886799432825,"fmsy08"
2055,0.000527374463281772,"fmsy08"
2056,0.00054240406925184,"fmsy08"
2057,0.000521536420666539,"fmsy08"
2058,0.000519787291629607,"fmsy08"
2059,0.00050797957950695,"fmsy08"
2060,0.000521160775766459,"fmsy08"
2061,0.000506716761307294,"fmsy08"
2062,0.00049707375102468,"fmsy08"
2063,0.000519493594449144,"fmsy08"
2064,0.000525385926980826,"fmsy08"
2065,0.000502028005246686,"fmsy08"
2066,0.000510535131571494,"fmsy08"
2067,0.000520576643193762,"fmsy08"
2068,0.000483253554233795,"fmsy08"
2016,0.000568009723576358,"fmsy06"
2017,0.000566503030234533,"fmsy06"
2018,0.000547781198318901,"fmsy06"
2019,0.000503725472592386,"fmsy06"
2020,0.000461196369022391,"fmsy06"
2021,0.000509873835667514,"fmsy06"
2022,0.000521341959217924,"fmsy06"
2023,0.000539733597607041,"fmsy06"
2024,0.000547119490548054,"fmsy06"
2025,0.000547522753678385,"fmsy06"
2026,0.000579646518012039,"fmsy06"
2027,0.0005750272794092,"fmsy06"
2028,0.000554627573227831,"fmsy06"
2029,0.000574573877372118,"fmsy06"
2030,0.000622439484065558,"fmsy06"
2031,0.00060293747170488,"fmsy06"
2032,0.00058784622052752,"fmsy06"
2033,0.000573582439038386,"fmsy06"
2034,0.000585931080911113,"fmsy06"
2035,0.000584783702484683,"fmsy06"
2036,0.000601262781482461,"fmsy06"
2037,0.000593068979078337,"fmsy06"
2038,0.000589128204756124,"fmsy06"
2039,0.000604622220667214,"fmsy06"
2040,0.000594773202019426,"fmsy06"
2041,0.000601931840917982,"fmsy06"
2042,0.000587354733058917,"fmsy06"
2043,0.00060122876128274,"fmsy06"
2044,0.000617562999752735,"fmsy06"
2045,0.000608308399199721,"fmsy06"
2046,0.000584337745740032,"fmsy06"
2047,0.000602281895750735,"fmsy06"
2048,0.000603245468387619,"fmsy06"
2049,0.000571385876377364,"fmsy06"
2050,0.000589841209582912,"fmsy06"
2051,0.000591967090379259,"fmsy06"
2052,0.000569131314022036,"fmsy06"
2053,0.000571210308934465,"fmsy06"
2054,0.000564973478347238,"fmsy06"
2055,0.000555924191641168,"fmsy06"
2056,0.00055646466266022,"fmsy06"
2057,0.000573622841008761,"fmsy06"
2058,0.000561414997700557,"fmsy06"
2059,0.000558719682067567,"fmsy06"
2060,0.00055193420216389,"fmsy06"
2061,0.00055352783157078,"fmsy06"
2062,0.000562566573580013,"fmsy06"
2063,0.000561618572089582,"fmsy06"
2064,0.000567403662510643,"fmsy06"
2065,0.000558770153760992,"fmsy06"
2066,0.000547514046009702,"fmsy06"
2067,0.000569192828703243,"fmsy06"
2068,0.000551460511440062,"fmsy06"
