year,LPI_final,scenario
1981,1,fmsy2
1982,0.966318515,fmsy2
1983,0.937801413,fmsy2
1984,0.913437753,fmsy2
1985,0.893210078,fmsy2
1986,0.877766483,fmsy2
1987,0.865962843,fmsy2
1988,0.854912305,fmsy2
1989,0.843183171,fmsy2
1990,0.832097473,fmsy2
1991,0.823121228,fmsy2
1992,0.815523639,fmsy2
1993,0.807864529,fmsy2
1994,0.80041595,fmsy2
1995,0.794655605,fmsy2
1996,0.790943905,fmsy2
1997,0.788098531,fmsy2
1998,0.7852713,fmsy2
1999,0.782641431,fmsy2
2000,0.780193162,fmsy2
2001,0.77702184,fmsy2
2002,0.772750076,fmsy2
2003,0.768554311,fmsy2
2004,0.765800482,fmsy2
2005,0.764314519,fmsy2
2006,0.762770998,fmsy2
2007,0.76032547,fmsy2
2008,0.75708195,fmsy2
2009,0.75341115,fmsy2
2010,0.749759185,fmsy2
2011,0.746887886,fmsy2
2012,0.745256999,fmsy2
2013,0.744106784,fmsy2
2014,0.742086026,fmsy2
2015,0.738952951,fmsy2
1981,1,fmsy2
1982,0.934936099,fmsy2
1983,0.899930234,fmsy2
1984,0.873623952,fmsy2
1985,0.851667002,fmsy2
1986,0.834867119,fmsy2
1987,0.822670328,fmsy2
1988,0.810629836,fmsy2
1989,0.798839488,fmsy2
1990,0.787179227,fmsy2
1991,0.778557707,fmsy2
1992,0.770949728,fmsy2
1993,0.763131665,fmsy2
1994,0.75620535,fmsy2
1995,0.750728982,fmsy2
1996,0.747140354,fmsy2
1997,0.744625876,fmsy2
1998,0.741709239,fmsy2
1999,0.738622701,fmsy2
2000,0.736352417,fmsy2
2001,0.733182864,fmsy2
2002,0.729036256,fmsy2
2003,0.725064448,fmsy2
2004,0.722217477,fmsy2
2005,0.720711677,fmsy2
2006,0.718933044,fmsy2
2007,0.716784462,fmsy2
2008,0.713599713,fmsy2
2009,0.70999181,fmsy2
2010,0.706392786,fmsy2
2011,0.703475458,fmsy2
2012,0.701915226,fmsy2
2013,0.700651086,fmsy2
2014,0.698574479,fmsy2
2015,0.695804911,fmsy2
1981,1,fmsy2
1982,0.991929112,fmsy2
1983,0.97101491,fmsy2
1984,0.94993831,fmsy2
1985,0.932619117,fmsy2
1986,0.918178985,fmsy2
1987,0.907928231,fmsy2
1988,0.897398276,fmsy2
1989,0.88570867,fmsy2
1990,0.875265186,fmsy2
1991,0.866860918,fmsy2
1992,0.858957845,fmsy2
1993,0.851491601,fmsy2
1994,0.844094528,fmsy2
1995,0.838396673,fmsy2
1996,0.834746307,fmsy2
1997,0.831847414,fmsy2
1998,0.828774577,fmsy2
1999,0.826224131,fmsy2
2000,0.823808305,fmsy2
2001,0.820737685,fmsy2
2002,0.816591983,fmsy2
2003,0.812203409,fmsy2
2004,0.809372599,fmsy2
2005,0.807594266,fmsy2
2006,0.806123096,fmsy2
2007,0.803846557,fmsy2
2008,0.80033873,fmsy2
2009,0.796758627,fmsy2
2010,0.793224705,fmsy2
2011,0.790353374,fmsy2
2012,0.788983458,fmsy2
2013,0.787803785,fmsy2
2014,0.785606581,fmsy2
2015,0.78235283,fmsy2
